accuracy,f1_score,recall,precision,k,modelo_ML
0.8425724741023248,0.8338741525593132,0.8425724741023248,0.8343844651951191,49,MLP
0.8012960325771271,0.8012613988515676,0.8012960325771271,0.8012268801333358,49,Decision Tree
0.8224256123302558,0.8191843674827737,0.8224256123302558,0.8170609692026702,49,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,49,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,49,Gaussian NB
0.8407605196784301,0.8289116579095683,0.8407605196784301,0.8324342817525794,5,MLP
0.801603154111446,0.8013860602842215,0.801603154111446,0.8011736435099532,5,Decision Tree
0.8230398553988936,0.8198550733201966,0.8230398553988936,0.8177590815460917,5,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,5,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,5,Gaussian NB
0.8418661028735656,0.8326236727174168,0.8418661028735656,0.8334539270455587,50,MLP
0.8019716988207868,0.8019284971237155,0.8019716988207868,0.8018866122715099,50,Decision Tree
0.8230705773616221,0.8199987735947258,0.8230705773616221,0.8179450247710207,50,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,50,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,50,Gaussian NB
0.8408525855872455,0.8303200957864487,0.8408525855872455,0.8324167338883455,6,MLP
0.8012345999700892,0.8012678314980063,0.8012345999700892,0.8013053923708117,6,Decision Tree
0.8229169939576242,0.8198554517939972,0.8229169939576242,0.8178036445139045,6,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,6,KNN
0.7935874288278932,0.751251556199509,0.7935874288278932,0.7803149277713485,6,Gaussian NB
0.8425417615716123,0.8320874145632475,0.8425417615716123,0.8343733183984059,7,MLP
0.8018488562435495,0.8017968140623295,0.8018488562435495,0.8017477313775891,7,Decision Tree
0.823070549065574,0.8198186093327187,0.823070549065574,0.8177000044990288,7,Random Forest
0.8248825751727908,0.8191922575627906,0.8248825751727908,0.8168140388664831,7,KNN
